,origin,Common Name,scientific_name,Max_Growth,Poisonous_for_pets,big_image_url,temperature,max_plant_price,min_plant_price,average_plant_price,origin_country_list
0,South America,Amaryllis, Hippeastrum,Height 30 in/75 cm.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/hippeastrum-plant.jpg,The amaryllis within the growing period (winter - spring) prefers temperatures of 70 - 75Ff (21 - 24c) and from September - November (or early December) 55f (13c). After the plant as flowered the temperature can be kept at around 70 - 75Ff (21 - 24c) which will keep the flower healthier longer.,348.26,9.99,57.74,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
1,Eastern Africa,African violet, Saintpaulia, Diameter (micro - 3in) - (large - 16in).,Non toxic dogs and cats.,https://www.houseplantsexpert.com/assets/images/av-light-purple-1.jpg," Room temperatures of around 65f / 16c --- 75f / 24c are ideal.
Try not to allow temperatures to decrease lower than 60f / 15.5c and it's advised to avoid cold drafts or abrupt temperature changes.",53.5,8.0,24.38,"British Indian Ocean Territory, Burundi, Comoros, Djibouti, Eritrea, Ethiopia, French Southern Territories, Kenya, Madagascar, Malawi, Mauritius, Mayotte, Mozambique, Réunion, Rwanda, Seychelles, Somalia, South Sudan, Uganda, United Republic of Tanzania, Zambia, Zimbabwe"
2,South America,Angel wing begonia, Begonia coccinea,4ft tall or more if not pruned.,Toxic for cats and dogs.,https://www.houseplantsexpert.com/assets/images/angel_wing_begonia.jpg,Average room temperatures of 55 - 75F (13 - 24C) are best suited for Begonias...and no less than 55F.,30.0,4.99,15.09,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
3,Southern Africa,"Barberton, Gerbera, Transvaal Daisy",  Gebera Jamesonii,24in tall.,"Non toxic for cats, dogs and horses.",https://www.houseplantsexpert.com/assets/images/flower_closeup_1.jpg,Average temperatures of 55 - 75F (13 - 24C) are suitable.,7.5,3.0,4.9,"Botswana, Eswatini, Lesotho, Namibia, South Africa"
4,"Central America, Mexico",Spider Lily, Hymenocallis littoralis, Height 2 - 3ft.,No.,https://www.houseplantsexpert.com/assets/images/beach_spider_lily_img.jpg,"The Beach Spider Lily is capable of withstanding temperatures that drop into the 40ºF (4C) range, and as high as 90ºF (32ºC). They must be protected against frosts by all means, or the plant will die back to the bulb stage.",18.0,9.99,13.49,"Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama, Mexico"
5,Southern Africa,"Belladonna lily, March lily and naked lady.", Amaryllis belladonna,Height 24 in/60 cm.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/amaryllis-belladonna.jpg,Temperatures from 65 - 75Ff (18 - 24c) are best suited.,43.55,2.99,20.11,"Botswana, Eswatini, Lesotho, Namibia, South Africa"
6,Southern Africa,"Bird of Paradise, Strelitzia, Crane Flower", Strelitzia Reginae,Height 6ft (can be kept to 3ft indoors).,"Mildly toxic for cats, dogs",https://www.houseplantsexpert.com/assets/images/Strelitzia_Reginae_Flower_img1.jpg,"The Bird of Paradise requires moderate temperatures year-round. They can tolerate temperatures as low as 55 ºF (13 ºC), but prefer to remain in the 70-90 ºF (21-32 ºC) range. Above 70 ºF (21 ºC), care instructions do change slightly.",90.0,5.0,31.33,"Botswana, Eswatini, Lesotho, Namibia, South Africa"
7,South America,Blushing bromeliad, Neoregelia carolinae,Height 18 in/45 cm.,"Non toxic for cats, dogs",https://www.houseplantsexpert.com/image-files/blushing_bromeliad1.jpg, Average to just above average temperatures of 65 - 80ºF (18 - 27ºC) are best suited. Avoid lower than 55ºF (13ºC).,15.95,4.0,13.69,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
8,Eastern Africa,Busy Lizzie and Impatient Lucy,  Impatiens Walleriana, 24in (60cm) in height.,Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/busy-lizzie-plant.jpg,Average room temperatures from 65F/18.3C - 75F/23.8C (not below 60F/15.5C). ,12.0,3.0,5.89,"British Indian Ocean Territory, Burundi, Comoros, Djibouti, Eritrea, Ethiopia, French Southern Territories, Kenya, Madagascar, Malawi, Mauritius, Mayotte, Mozambique, Réunion, Rwanda, Seychelles, Somalia, South Sudan, Uganda, United Republic of Tanzania, Zambia, Zimbabwe"
9,Southern Africa,Calla lily,  Zantedeschia aethiopica,Flower stalk 3ft (90cm) in height.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/calla-lily-plant.jpg,"These flowers can be rather picky about their temperatures. For ideal growing conditions expose the bulbs to days no hotter than 65F and no colder than 55F. The above ground plant can tolerate temperatures as high as 75F. If your home is hot, use mulch to keep the bulb cooler in its pot.",20.92,1.42,9.02,"Botswana, Eswatini, Lesotho, Namibia, South Africa"
10,Eastern Asia,"Coral berry, christmas berry, coral ardisia", Ardisia crenata,"Height 3ft, width 2ft.",Not known.,https://www.houseplantsexpert.com/images/ardisia_crenata1.jpg,Average warmth is fine of approximately 60-75F (15-24C) and no lower than 45F (8C).,89.0,4.89,38.84,"China, Hong Kong S.A.R, Macao S.A.R, North Korea, Japan, Mongolia, South Korea"
11,"South America, Central America",Corsage Orchid, Cattleya Orchid,12 - 24in tall.,"Non toxic for cats, dogs and horses.",https://www.houseplantsexpert.com/assets/images/yellow_cattleya_orchid.jpg,They do well in temperatures varying from 55 degrees at night up to 90 degrees in the day. You can safely put your orchid outside during the summer months. A drop in temperature during the evening is required.,120.0,4.99,51.52,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama"
12,"Western Asia, Greece","Cylamen, florist cyclamen",  C Cyclamen,12 inches tall,Toxic to cats and dogs.,https://www.houseplantsexpert.com/assets/images/cyclamen_flower_bud.jpg,"Cool temperatures from 50F/10C - 65F/18C are ideal, so a cool room without central heating is required (if you want the flowers to last long). If a room is above these temperatures just find the coolest spot within the room.",63.97,2.26,18.93,"Armenia, Azerbaijan, Bahrain, Cyprus, Georgia, Iraq, Israel, Jordan, Kuwait, Lebanon, Oman, Qatar, Saudi Arabia, Palestine, Syria, Turkey, United Arab Emirates, Yemen, Greece"
13,Brazil,Eternal Flame, Calathea Crocata,Height 1 - 2ft. ,Non-toxic to cats and dogs.,https://www.houseplantsexpert.com/assets/images/calathea_crocata.jpg,"It likes humidity and warmth. Not lower than 60ºF (16ºC). It will do well in a room temperature as long as there is a high level of humidity. The temperature in the room must be stable, and not change much. ",32.95,5.95,20.31,Brazil
14,Brazil,"False shamrock, purple sharock, wood sorrel",  Oxalis Triangularis [Syn Oxalis regnellii],12in tall.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/false_shamrock_leaf.jpg,"Temperature: Between 60 - 70F (15 - 21C) ""no higher than 75F - 24C"" seems to be the ideal temperatures during the day and no lower than about 55F (13C) during the night.",17.0,6.99,12.81,Brazil
15,"South America, Central America","Flamingo flower, pigtail plant",  Anthurium scherzerianum,12 - 18 inches in height.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/flamingo-flower-plant.jpg,"Average room temperatures from 65F/18.3C - 75F/23.8C (maybe a little higher and not below 60F/15.5C). Lower temperatures will affect it's leaves (may turn yellow), impede it's growth and flowering.",90.0,17.17,52.17,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela, Belize, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama"
16,South America,Flaming Sword, Vriesea splendens,"Height 18 in/45 cm, diameter 10 in/25 cm.",Non-Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/flaming-sword-plant.jpg,Temperature:To bring them in to flower you may need to keep the temperature up to around 75f / 24c and then average room temperatures above 65f / 18.3c at any other time.,35.0,14.99,19.7,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
17,South America,"F. maple,",  Abutilon hybridum,Height 5 ft or more. ,Not known.,https://www.houseplantsexpert.com/image-files/abutilon-hybridum.jpg,They thrive in summer conditions and prefer temperature’s from 60F-15.5C/ 80F-26.6C . Avoid lower than 50F/10C in the winter.,7.5,1.59,3.3,"Argentina, Bolivia, Bouvet Island, Brazil, Chile, Colombia, Ecuador, Falkland Islands (Malvinas), French Guiana, Guyana, Paraguay, Peru, South Georgia and the South Sandwich Islands, Suriname, Uruguay, Venezuela"
18,Southern Africa,Kaffir and bush lily, Clivia miniata,18 inches in height.,Toxic to cats and dogs.,https://www.houseplantsexpert.com/image-files/Clivia-Miniata.jpg,"Temperatures from cool to average room 60F/15.5C - 75F/23.8C are best suited.
The resting period needed within the winter needs the temperature to be much cooler - at 40F/4.5C - 50F/10C.",75.0,24.88,46.77,"Botswana, Eswatini, Lesotho, Namibia, South Africa"
