,origin,Common Name,scientific_name,Poisonous_for_pets,Toxic Cats,Toxic Dogs
0,South America,Amaryllis, Hippeastrum,Toxic to cats and dogs.,Yes,Yes
1,Eastern Africa,African violet, Saintpaulia,Non toxic dogs and cats.,no,no
2,South America,Angel wing begonia, Begonia coccinea,Toxic for cats and dogs.,Yes,Yes
3,Southern Africa,"Barberton, Gerbera, Transvaal Daisy",  Gebera Jamesonii,"Non toxic for cats, dogs and horses.",no,no
4,"Central America, Mexico",Spider Lily, Hymenocallis littoralis,No.,no,no
5,Southern Africa,"Belladonna lily, March lily and naked lady.", Amaryllis belladonna,Toxic to cats and dogs.,Yes,Yes
6,Southern Africa,"Bird of Paradise, Strelitzia, Crane Flower", Strelitzia Reginae,"Mildly toxic for cats, dogs",Yes,Yes
7,South America,Blushing bromeliad, Neoregelia carolinae,"Non toxic for cats, dogs",no,no
8,Eastern Africa,Busy Lizzie and Impatient Lucy,  Impatiens Walleriana,Non-toxic to cats and dogs.,no,no
9,Southern Africa,Calla lily,  Zantedeschia aethiopica,Toxic to cats and dogs.,Yes,Yes
10,Eastern Asia,"Coral berry, christmas berry, coral ardisia", Ardisia crenata,Not known.,Unknown,Unknown
11,"South America, Central America",Corsage Orchid, Cattleya Orchid,"Non toxic for cats, dogs and horses.",no,no
12,"Western Asia, Greece","Cylamen, florist cyclamen",  C Cyclamen,Toxic to cats and dogs.,Yes,Yes
13,Brazil,Eternal Flame, Calathea Crocata,Non-toxic to cats and dogs.,no,no
14,Brazil,"False shamrock, purple sharock, wood sorrel",  Oxalis Triangularis [Syn Oxalis regnellii],Toxic to cats and dogs.,Yes,Yes
15,"South America, Central America","Flamingo flower, pigtail plant",  Anthurium scherzerianum,Toxic to cats and dogs.,Yes,Yes
16,South America,Flaming Sword, Vriesea splendens,Non-Toxic to cats and dogs.,no,no
17,South America,"F. maple,",  Abutilon hybridum,Not known.,Unknown,Unknown
18,Southern Africa,Kaffir and bush lily, Clivia miniata,Toxic to cats and dogs.,Yes,Yes
19,"South America, Central America",Lollipop and golden shrimp plant, Pachystachys Lutea,Not known.,Unknown,Unknown
20,Madagascar,Madagascar Jasmine - Wax Flower,  Stephanotis Floribunda,Non-toxic to cats and dogs.,no,no
21,"Central America, Mexico",Medusa Plant,  Tillandsia Caput Medusae,Not known..,Unknown,Unknown
22,South America,Christmas and ornamental pepper plant,  Capiscum annuum,Toxic to cats and dogs.,Yes,Yes
23,"Central America, Mexico","Poinsettia,", Euphorbia Pulcherrima,Toxic to cats and dogs.,Yes,Yes
24,South America,"Queens tears, friendship plant", Billbergia nutans,Non-toxic to cats and dogs.,no,no
25,China,"Rose of China, Chinese hibiscus, Shoe flower", Hibiscus Rosa-Sinensis,Toxic to cats and dogs.,Yes,Yes
26,"South America, Central America",Scarlet star, Guzmania lingulata,"Non toxic for cats, dogs",no,no
27,South-eastern Asia,"The one colored paphiopedilum, lady's slipper", P concolor,Not confirmed.,Unknown,Unknown
28,Brazil,Urn and pink or silver vase plant, Aechmea Fasciata,Non-toxic to cats and dogs.,no,no
29,"Peru, Ecuador",Winter cherry, Solanum capsicastrum,Toxic to cats and dogs.,Yes,Yes
30,Northern Africa,Aluminum Plant, Pilea Cadierei,Toxic for cats and dogs.,Yes,Yes
31,Madagascar,"Areca, butterfly, or cane palm", Dypsis lutescens [syn] Chrysalidocarpus or areca lutescens,Non toxic for cats and dogs.,no,no
32,South America,"Arrowhead Plant or Arrowhead Vine, Goosefoot Plant"," Syngonium Podophyllum, also named Nephthytis Podophyllum",Toxic to cats and dogs.,Yes,Yes
33,"South-eastern Asia, Australia",Bird's Nest Fern,  Asplenium Nidus,"Non toxic for cats, dogs",no,no
34,United States of America,Boston Fern,  Nephrolepis Exaltata 'Bostoniensis',"Non toxic for cats, dogs",no,no
35,China,Broadleaf lady or little lady palm, Rhapis excelsa,"Non toxic for cats, dogs",no,no
36,Western Sahara,Canary Island Date Palm, Phoenix Canariensis,"Non toxic for cats, dogs",no,no
37,"Japan, China",Cast iron plant, Aspidistra elatior,Non-toxic to cats and dogs.,no,no
38,"South-eastern Asia, Oceania",Chinese evergreen,"  A commutatum, A modestum, A pictum and others","Toxic to cats, dogs and horses.",Yes,Yes
39,Oceania,"Coral bead, pin cushion plant", Nertera granadensis,Toxic to cats and dogs.,Yes,Yes
40,Africa,Corn or cornstalk plant,  Dracaena fragrans,Toxic to cats and dogs.,Yes,Yes
41,Eastern Asia,Creeping or climbing fig,"  Ficus pumila, [syn] ficus repens",Toxic to cats and dogs.,Yes,Yes
42,"Europe, Asia, Africa",Cretan Brake Fern,  Pteris Cretica,Not known.,Unknown,Unknown
43,"India, Sri Lanka, Malaysia, Oceania","Croton, Joseph's coat","  Codiaeum variegatum, [syn] Croton variegatum",Toxic to cats and dogs.,Yes,Yes
44,Caribbean,Dumb cane,  Dieffenbachia Amoena,Seriously toxic to cats and dogs.,Yes,Yes
45,South-eastern Asia,Elephant's ear - Alocasia polly - African mask, Alocasia Amazonica,Toxic for cats and dogs.,Yes,Yes
46,Southern Europe,"European fan, Mediterranean dwarf palm, and Dwarf fan palm", Chamaerops humilis,Not known.,Unknown,Unknown
47,Western Africa,Fiddle leaf fig tree,"  Ficus lyrata, [syn] Ficus pandurata","Toxic to cats, dogs and horses.",Yes,Yes
